Composite_Key,Matchday,Date,Comp,Season,Round,Opponent,Venue,Result,GF,GA,GD,xG,xGA,xGD,xGD - GD,Vela_Minutes_Played,Did_Vela_Play,GF - xGF,GA - xGA
14-2023,14,6/10/23,MLS,2023,Regular Season,Houston Dynamo,Away,L,0,4,-4,0.7,2.1,-1.4,2.6,71,1,-0.7,1.9
15-2023,15,6/14/23,MLS,2023,Regular Season,Houston Dynamo,Home,L,0,1,-1,0.7,0.6,0.1,1.1,90,1,-0.7,0.4
16-2023,16,6/17/23,MLS,2023,Regular Season,Sporting KC,Away,W,2,1,1,1.1,2,-0.9,-1.9,45,1,0.9,-1
17-2023,17,6/21/23,MLS,2023,Regular Season,Seattle Sounders,Home,W,1,0,1,1.1,0.5,0.6,-0.4,71,1,-0.1,-0.5
18-2023,18,6/24/23,MLS,2023,Regular Season,Vancouver W'caps,Home,L,2,3,-1,2.2,1.5,0.7,1.7,90,1,-0.2,1.5
19-2023,19,7/1/23,MLS,2023,Regular Season,FC Dallas,Away,L,0,2,-2,1.1,1,0.1,2.1,25,1,-1.1,1
20-2023,20,7/4/23,MLS,2023,Regular Season,LA Galaxy,Away,L,1,2,-1,1.6,1.4,0.2,1.2,90,1,-0.6,0.6
21-2023,21,7/8/23,MLS,2023,Regular Season,SJ Earthquakes,Home,D,1,1,0,1.7,0.6,1.1,1.1,18,1,-0.7,0.4
22-2023,22,7/12/23,MLS,2023,Regular Season,St. Louis,Home,W,3,0,3,1.6,0.3,1.3,-1.7,86,1,1.4,-0.3
23-2023,23,7/15/23,MLS,2023,Regular Season,Minnesota Utd,Away,D,1,1,0,0.9,2,-1.1,-1.1,60,1,0.1,-1
24-2023,24,8/23/23,MLS,2023,Regular Season,Colorado Rapids,Home,W,4,0,4,2.8,0.6,2.2,-1.8,64,1,1.2,-0.6
25-2023,25,8/26/23,MLS,2023,Regular Season,Charlotte,Away,L,1,2,-1,2.3,1.8,0.5,1.5,63,1,-1.3,0.2
26-2023,26,9/3/23,MLS,2023,Regular Season,Inter Miami,Home,L,1,3,-2,2.3,2.1,0.2,2.2,90,1,-1.3,0.9
27-2023,27,9/9/23,MLS,2023,Regular Season,Portland Timbers,Away,L,0,2,-2,1.1,2.2,-1.1,0.9,90,1,-1.1,-0.2
28-2023,28,9/16/23,MLS,2023,Regular Season,LA Galaxy,Home,W,4,2,2,1.5,0.8,0.7,-1.3,77,1,2.5,1.2
29-2023,29,9/20/23,MLS,2023,Regular Season,St. Louis,Away,D,0,0,0,0.7,0.6,0.1,0.1,30,1,-0.7,-0.6
30-2023,30,9/23/23,MLS,2023,Regular Season,Philadelphia Union,Away,D,0,0,0,0,0.3,-0.3,-0.3,19,1,0,-0.3
31-2023,31,10/1/23,MLS,2023,Regular Season,Real Salt Lake,Home,L,0,1,-1,1.2,0.5,0.7,1.7,90,1,-1.2,0.5
32-2023,32,10/4/23,MLS,2023,Regular Season,Minnesota Utd,Home,W,5,1,4,3.7,1.6,2.1,-1.9,68,1,1.3,-0.6
33-2023,33,10/7/23,MLS,2023,Regular Season,Austin,Away,W,4,2,2,3,0.4,2.6,0.6,29,1,1,1.6
34-2023,34,10/21/23,MLS,2023,Regular Season,Vancouver W'caps,Away,D,1,1,0,1.6,2,-0.4,-0.4,85,1,-0.6,-1
35-2023,35,10/28/23,MLS,2023,Round One,Vancouver W'caps,Home,W,5,2,3,1.3,0.5,0.8,-2.2,71,1,3.7,1.5
36-2023,36,11/5/23,MLS,2023,Round One,Vancouver W'caps,Away,W,1,0,1,1.3,1,0.3,-0.7,4,1,-0.3,-1
37-2023,37,11/26/23,MLS,2023,Conference Semifinals,Seattle Sounders,Away,W,1,0,1,0.4,1.3,-0.9,-1.9,78,1,0.6,-1.3
38-2023,38,12/2/23,MLS,2023,Conference Finals,Houston Dynamo,Home,W,2,0,2,1.8,0.5,1.3,-0.7,77,1,0.2,-0.5
39-2023,39,12/9/23,MLS,2023,MLS Cup,Columbus Crew,Away,L,1,2,-1,0.8,2,-1.2,-0.2,90,1,0.2,0
